Home_Listing_ID,Property_Name,Price_INR,City,Property_Type,Listing_Type,Total_Tags,Tags_Property_Type,Tags_Listing_Type,Tags_Bedrooms,Tags_Price_Range,Tags_Location,Tags_Agent,Tags_Media,Tags_Features,Tags_Marketing,Tags_Quality,Tags_Investment,All_Tags
r436675,Aurum Alumni Bliss,27500000.0,Sector 22D Yamuna Expressway,Apartment,new_listing,12,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r454311,Express Zenith Tower A,26399998.0,Sector 77,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r440690,Ace Acreville,30000000.0,Sector 22A Yamuna Expressway,Land,new_listing,12,land,,bedroom_unknown,luxury_1_5Cr,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,land_investment,"land, bedroom_unknown, luxury_1_5Cr, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, land_investment"
r436912,VVIP Addresses Greater Noida,35858442.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r416826,Trecento Residencies by Gaurs,125000000.0,Jaypee Greens,Apartment,new_listing,10,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,jaypee_development,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, jaypee_development, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r395716,Fusion The Brook,11150000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r402728,Sublime Spring Elmas,16260000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r430588,CRC Maesta,32500000.0,Sector 1 Greater Noida West,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r409011,Fusion The Rivulet,11001000.0,Sector-12,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r410958,Max Estates 128,113485920.0,Sector 128,Apartment,new_listing,12,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, yamuna_expressway, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, yamuna_expressway, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r384794,RG Mirage,30520000.0,Sector 120,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r446528,Godrej Sora,83100000.0,Sector 53,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r432550,TARC Ishva,77000000.0,Sector 63A,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r424460,M3M Mansion,36036000.0,Sector 113,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r444331,Signature Global Cloverdale SPR,38757500.0,Sector 71,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r404070,DLF The Arbour,84925000.0,Sector 63,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r438244,Indiabulls Estate and Club,39899999.0,Sector 104,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r422937,Krisumi Waterside Residences,44370000.0,Sector 36A,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r433274,Signature Global Daxin Vistas,21000000.0,Sohna,House,new_listing,9,house,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"house, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r442988,ROF Pravasa,24000000.0,Sector 88A,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r433317,Max Estate 360,54831000.0,Sector 36A,Apartment,new_listing,11,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r318679,Hero Homes,15935500.0,Sector 104,Apartment,new_listing,11,apartment,,bedroom_unknown,luxury_1_5Cr,"sector_location, ncr_region",has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, sector_location, ncr_region, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r444343,Runwal Raaya,109900000.0,Worli,Apartment,new_listing,9,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r426835,Tricity Aspire,11200000.0,Kharghar,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r425106,Ruparel Stardom,23500001.0,Evershine Nagar,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r382672,Mahaavir Exotique,5400872.0,Kharghar,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r422558,Godrej Reserve,25400521.0,Kandivali East,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r430268,Raheja Lunaris,10514876.0,Juinagar,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r88315,Ruparel Vivanza,25500000.0,Byculla,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r403694,Raheja Modern Vivarea,125175000.0,Mahalaxmi,Apartment,new_listing,9,apartment,,bedroom_unknown,ultra_luxury_5Cr_plus,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, ultra_luxury_5Cr_plus, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r404243,Lodha Divino,37746933.0,Matunga,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r403096,Codename Cloud City,5871558.0,Kharghar,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r447590,Paramount By Gala Habitats,37920000.0,Matunga East,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r434130,Ruparel Urbana,9490000.0,Kurla,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r416159,Lodha Mirabelle ,14900002.0,Hebbal,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r425508,Casagrand Regal,10864865.0,Thanisandra,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r418697,Provident Deansgate,21000000.0,IVC Road,House,new_listing,9,house,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"house, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r443697,Bhartiya Garden Estate,6708000.0,Sadahalli,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r426518,DSR The Courtyard,10315885.0,Sarjapur Road,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r437293,Eastfield by Urbanest Realty,12744054.0,Hoskote,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r424098,Modern Spaaces Engrace Vista,15501000.0,Sarjapur Road,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r367669,Assetz Canvas and Cove,17100000.0,Begur,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r411425,Sarang by Sumadhura,13475000.0,Whitefield,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r418789,Bhartiya Nikoo Homes 5,12683240.0,Chokkanahalli,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r435540,Signature Premier,12000000.0,Sarjapur Road,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r433250,Rohan Saroha,8146228.0,Bhugaon,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r383225,VTP Euphoria,9159135.0,Kharadi,Apartment,new_listing,8,apartment,,bedroom_unknown,premium_50L_1Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,,"apartment, bedroom_unknown, premium_50L_1Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing"
r419466,Merlin Ventana,13199998.0,Baner,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r442001,Nyati Evania,19000003.0,Sadashiv Peth,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r401614,Kalpataru Jade Skyline,19000000.0,Baner,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r401175,Mahindra Citadel,16300000.0,Pimpri Chinchwad,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r405131,Lodha Panache,12547563.0,Hinjewadi,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r437218,Vilas Palladio Kharadi Central Phase 2,10999996.0,Kharadi,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r399309,Lodha Giardino,30000000.0,Kharadi,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
r410862,Nyati Emerald,11800000.0,Baner,Apartment,new_listing,9,apartment,,bedroom_unknown,luxury_1_5Cr,,has_agent,has_photos,geo_tagged,has_custom_labels,complete_listing,high_value_investment,"apartment, bedroom_unknown, luxury_1_5Cr, has_agent, has_photos, geo_tagged, has_custom_labels, complete_listing, high_value_investment"
